lookback_size,batch,d_hidden,activation,d_in,d_out,batch,optim,lr,epoch,loss,tst_loss,MSE,RMSE,R2,MAE,MAPE
365,32,64,sigmoid,365,7,32,adamw,0.0001,1000,0.00411,0.00548,80.0942,8.9495,-1.1375,6.5834,-234.127
365,32,1024,sigmoid,365,7,32,adamw,0.0001,1000,0.00386,0.00609,80.2047,8.9557,-0.4683,6.626,-151.4269
365,32,512,sigmoid,365,7,32,adamw,0.0001,1000,0.00381,0.00607,81.0335,9.0019,-0.6864,6.5668,-162.3933
365,32,1024,relu,365,7,32,adamw,0.00001,2000,0.00051,0.0063,84.9776,9.2183,-0.7852,6.9454,-211.2473
365,32,64,sigmoid,365,7,32,adamw,0.0001,2000,0.0029,0.00653,86.572,9.3044,-0.9023,6.6917,-219.331
365,32,64,relu,365,7,32,adamw,0.0001,1000,0.00158,0.00692,87.3087,9.3439,-0.3266,7.5395,-324.7324
365,32,64,relu,365,7,32,adamw,0.0001,500,0.00297,0.00623,88.351,9.3995,-0.9698,7.4182,-313.3676
365,32,512,relu,365,7,32,adamw,0.00001,2000,0.00124,0.00124,89.4588,9.4583,-1.0724,,
365,32,64,relu,365,7,32,adamw,0.00001,5000,0.00259,0.00636,90.0089,9.4873,-0.6413,,
365,128,512,relu,365,7,32,adamw,0.0001,1000,0.00037,0.00673,90.721,9.5248,-0.7324,7.2808,-238.1985
365,32,512,sigmoid,365,7,32,adamw,0.0001,2000,0.00243,0.00723,90.8458,9.5313,-0.4384,6.8991,-181.193
365,32,512,relu,365,7,32,adamw,0.00001,3000,0.000522,0.000522,91.3665,9.5586,-1.0633,,
365,32,512,relu,365,7,32,adamw,0.0001,500,0.00021,0.00653,91.9824,9.5907,-0.5764,,
365,32,512,relu,365,7,32,adamw,0.00001,1000,0.00335,0.00603,92.9346,9.6403,-1.568,,
365,32,1024,sigmoid,365,7,32,adamw,0.0001,2000,0.00239,0.00741,95.5758,9.7763,-0.4859,7.0436,-167.3335
365,32,512,relu,365,7,32,adamw,0.00001,5000,0.000132,0.00691,97.7752,9.8881,-1.0675,,
365,32,1024,relu,365,7,32,adamw,0.0001,1000,1.60E-05,0.00714,98.9315,9.9464,-0.9149,7.573,-176.7975
365,32,64,relu,365,7,32,adamw,0.0001,2000,0.000817,0.00806,102.3492,10.1118,-0.3473,,
365,32,64,relu,365,7,32,adamw,0.00001,2000,0.0043,0.00643,104.2846,10.212,-1.9453,7.1568,-280.6303
365,32,64,relu,365,7,32,adamw,0.00001,1000,0.00575,0.0062,105.809,10.2864,-2.7903,,
365,32,512,relu,365,7,32,adamw,0.0001,1000,1.91E-05,0.00725,106.8532,10.337,-0.7898,,
365,128,512,relu,365,7,32,adamw,0.0001,2000,1.80E-05,0.00731,107.0719,10.3476,-0.7623,7.7976,-368.9712
365,32,512,relu,365,7,32,adamw,0.0001,100,0.00434,0.00632,107.2386,10.3556,-1.8949,,
365,32,1024,relu,365,7,32,adamw,0.0001,2000,3.05E-06,0.0072,107.4904,10.3678,-1.009,7.8171,-175.399
365,32,1024,relu,365,7,32,adamw,0.00001,5000,6.86E-06,0.00704,107.9739,10.391,-1.3059,7.6745,-100.1221
365,32,64,relu,365,7,32,adamw,0.0001,100,0.00825,0.0054,111.1152,10.5411,-2.7961,,
365,32,512,relu,365,7,32,adamw,0.0001,2000,2.20E-06,0.00786,117.9057,108584,-0.8666,,
